EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,CLASE
8,16,4,-1,3,9,13,-6,F
7,1,-3,-3,-1,8,24,5,F
-1,-7,0,-3,-5,-5,-11,-9,F
0,-10,1,-4,-4,-4,-6,3,F
0,0,3,-9,-11,3,-4,-2,G
1,2,0,14,2,2,3,7,G
2,-2,4,4,23,-1,9,-4,G
-6,-5,-4,0,8,7,-1,-2,G
-3,2,7,21,14,1,1,-1,G
9,2,-1,4,14,3,0,1,G
0,-3,3,-6,-7,-2,5,9,G
-1,-2,4,-5,-7,4,-2,1,G
-4,-2,-2,-2,-2,-2,-1,-4,G
-1,-2,1,2,2,1,-3,-2,G
2,-3,-1,-1,-1,-3,-2,2,G
-4,-4,-2,-4,-4,-5,-5,-7,G
-2,-2,-1,0,0,1,-1,-7,G
-4,-6,-5,-4,-3,0,4,4,G
-2,2,-2,-1,-3,-3,-5,-6,G
-3,-3,-1,-2,-2,-2,2,-10,G
-16,3,3,0,-3,-1,-1,-11,G
6,-2,-9,-4,-1,8,7,-2,G
-8,-1,-1,-1,1,0,-3,-6,G
-19,-21,-1,-1,-3,-1,0,1,G
-3,-3,-9,-5,-3,-2,-18,-11,G
-7,2,-25,-5,4,13,18,8,G
34,37,5,-1,2,12,15,2,G
5,9,7,1,5,8,-6,-13,G
30,8,1,-4,-12,2,10,17,H
-6,-5,-6,-6,-12,-7,-12,-14,H
6,-5,-3,7,-19,-4,-7,-16,H
33,-1,0,-4,-4,-10,-10,-25,H
-15,-1,3,8,14,-2,2,22,H
-43,-1,-1,-7,-30,-3,-9,10,H
-33,-6,-3,-11,-14,-1,1,-13,H
81,20,-10,-25,45,-7,7,37,H
-2,0,1,3,0,-2,-1,3,H
0,-4,-2,-8,-17,-7,-1,5,H
-3,-3,-1,-2,-2,-2,-4,0,H
1,0,1,0,1,3,5,1,H
-2,-1,-1,-3,-5,-4,-3,1,H
15,4,2,2,9,-1,-2,7,H
-18,-5,1,-1,-4,-4,-8,-13,H
18,1,-3,-4,-3,2,6,13,H
3,2,21,2,5,10,3,2,H
-4,-10,8,-1,-5,-11,-1,-5,H
-6,-4,-11,-3,2,-1,7,-2,H
-1,-1,-3,-3,-2,5,4,-4,H
-2,-6,-6,-2,-1,1,-26,-17,H
-2,-2,-8,1,4,1,-6,-12,H
4,-1,3,0,1,4,-5,1,H
-2,9,1,0,4,21,6,-3,H
23,8,2,-1,-6,1,-6,-25,I
36,-3,0,3,3,-1,-6,7,I
57,28,3,5,13,3,12,76,I
-27,-1,1,1,8,3,2,-16,I
-1,-9,0,3,1,-1,-3,2,I
6,-13,-6,-5,2,0,-6,-2,I
12,6,1,0,-5,-4,-12,-81,I
27,19,8,4,10,1,1,41,I
-4,0,2,0,0,-1,-2,-4,I
-2,-2,-3,-3,-2,1,-2,-1,I
-1,-4,-2,-3,-6,-3,-1,1,I
-1,4,4,0,3,1,0,-1,I
3,-4,0,2,4,2,-2,-1,I
7,0,-3,-3,-11,-5,-1,3,I
-8,0,3,3,8,2,1,-2,I
7,1,-2,2,1,3,3,3,I
2,-8,-10,3,1,5,41,17,I
0,-7,-3,-1,1,6,36,7,I
